week_start,week_end,rank,index_id,symbol,weekly_change_percent,three_week_cumulative_return
2019-01-22,2019-01-28,1,2,GOLDBEES,0.8894099621803572,2.6856079028680475
2019-01-22,2019-01-28,2,16,INFRABEES,0.0,0.0
2019-01-22,2019-01-28,3,31,LIQUIDBEES,0.0,0.0
2019-01-29,2019-02-04,1,2,GOLDBEES,1.0234170909215514,2.9902105883513737
2019-01-29,2019-02-04,2,3,NIFTYBEES,2.2361159059780413,1.9025227464677652
2019-01-29,2019-02-04,3,31,LIQUIDBEES,0.35298239446897733,0.35298239446897733
2019-02-05,2019-02-11,1,2,GOLDBEES,-0.6914033942596723,2.5137763520403973
2019-02-05,2019-02-11,2,31,LIQUIDBEES,-0.0010137418952310229,0.35198504257251223
2019-02-05,2019-02-11,3,16,INFRABEES,0.0,0.0
2019-02-12,2019-02-18,1,2,GOLDBEES,1.6760543447587473,2.4583787342523222
2019-02-12,2019-02-18,2,31,LIQUIDBEES,-0.0010137418952310229,0.35298239446897733
2019-02-12,2019-02-18,3,7,BANKBEES,-1.1528034125866489,0.26965550897997986
2019-02-19,2019-02-25,1,2,GOLDBEES,-0.6801786679855774,0.35125949547681545
2019-02-19,2019-02-25,2,13,MID150BEES,0.0,0.0
2019-02-19,2019-02-25,3,16,INFRABEES,0.0,0.0
2019-02-26,2019-03-04,1,10,JUNIORBEES,2.449672645209201,2.2113893536947598
2019-02-26,2019-03-04,2,31,LIQUIDBEES,0.3153049214751629,0.31632187005771445
2019-02-26,2019-03-04,3,13,MID150BEES,0.0,0.0
2019-03-05,2019-03-11,1,8,PSUBNKBEES,3.4295794873549856,12.533037286835727
2019-03-05,2019-03-11,2,10,JUNIORBEES,2.519460355064347,11.315177873037161
2019-03-05,2019-03-11,3,3,NIFTYBEES,2.0341355456844274,4.976313274343176
2019-03-12,2019-03-18,1,8,PSUBNKBEES,3.633286703884273,11.692195478205933
2019-03-12,2019-03-18,2,7,BANKBEES,3.404047276949488,8.676593154386406
2019-03-12,2019-03-18,3,10,JUNIORBEES,-0.8213286405262208,6.738664432157251
2019-03-19,2019-03-25,1,8,PSUBNKBEES,-2.8592522871454453,9.047314135495775
2019-03-19,2019-03-25,2,7,BANKBEES,-1.3749872715302696,8.53061676423221
2019-03-19,2019-03-25,3,3,NIFTYBEES,-1.5960326668031575,4.485092353516261
2019-03-26,2019-04-01,1,8,PSUBNKBEES,5.793387249834685,11.863038070344887
2019-03-26,2019-04-01,2,7,BANKBEES,1.517694175063281,8.726774441957565
2019-03-26,2019-04-01,3,3,NIFTYBEES,1.4012476813434802,4.140723041115529
2019-04-02,2019-04-08,1,8,PSUBNKBEES,-4.638787688918308,4.816258150885933
2019-04-02,2019-04-08,2,3,NIFTYBEES,-0.46684234978001005,1.6376670869399872
2019-04-02,2019-04-08,3,7,BANKBEES,-1.0292495471073448,1.3595424113730386
2019-04-09,2019-04-15,1,8,PSUBNKBEES,0.1510914359932119,6.880680387200153
2019-04-09,2019-04-15,2,3,NIFTYBEES,0.3544433084175192,3.4247961684654595
2019-04-09,2019-04-15,3,10,JUNIORBEES,1.124295124936578,3.16934111046547
2019-04-16,2019-04-22,1,13,MID150BEES,0.0,0.0
2019-04-16,2019-04-22,2,16,INFRABEES,0.0,0.0
2019-04-16,2019-04-22,3,31,LIQUIDBEES,0.0,0.0
2019-04-23,2019-04-29,1,3,NIFTYBEES,1.3902937468376981,1.1807784781174708
2019-04-23,2019-04-29,2,7,BANKBEES,1.5349701483329503,0.3023474851514493
2019-04-23,2019-04-29,3,31,LIQUIDBEES,0.0,0.0010458504720465473
2019-04-30,2019-05-06,1,31,LIQUIDBEES,-0.0010116164457018347,0.3198443154734352
2019-04-30,2019-05-06,2,13,MID150BEES,0.0,0.0
2019-04-30,2019-05-06,3,16,INFRABEES,0.0,0.0
2019-05-07,2019-05-13,1,2,GOLDBEES,0.8528872450458962,0.932125076786442
2019-05-07,2019-05-13,2,31,LIQUIDBEES,0.0,0.3198099825770881
2019-05-07,2019-05-13,3,13,MID150BEES,0.0,0.0
2019-05-14,2019-05-20,1,7,BANKBEES,7.089250962100134,2.9300381765007764
2019-05-14,2019-05-20,2,8,PSUBNKBEES,7.908965136491602,0.9481883833194605
2019-05-14,2019-05-20,3,3,NIFTYBEES,5.149286227842755,0.43519695064113734
2019-05-21,2019-05-27,1,8,PSUBNKBEES,8.06400291222814,11.017154139827186
2019-05-21,2019-05-27,2,7,BANKBEES,4.083239079567035,6.551191693793356
2019-05-21,2019-05-27,3,3,NIFTYBEES,1.5966752731999323,2.6282274757018964
2019-05-28,2019-06-03,1,8,PSUBNKBEES,-3.54189093633502,12.983997300807356
2019-05-28,2019-06-03,2,7,BANKBEES,0.1963264234661127,10.426420699691914
2019-05-28,2019-06-03,3,3,NIFTYBEES,1.2909182827371402,8.170956492535273
2019-06-04,2019-06-10,1,2,GOLDBEES,0.5271485463279719,3.2281746875592736
2019-06-04,2019-06-10,2,10,JUNIORBEES,-1.3835816365361373,1.5209534092251924
2019-06-04,2019-06-10,3,3,NIFTYBEES,-0.7235901440201191,1.407248682001013
2019-06-11,2019-06-17,1,2,GOLDBEES,1.1783007007916493,2.9950858076049007
2019-06-11,2019-06-17,2,31,LIQUIDBEES,-0.001008233961999277,0.3344743749059814
2019-06-11,2019-06-17,3,13,MID150BEES,0.0,0.0
2019-06-18,2019-06-24,1,16,INFRABEES,6.511458387456409,6.511458387456409
2019-06-18,2019-06-24,2,2,GOLDBEES,3.303207983370954,5.160419285821617
2019-06-18,2019-06-24,3,13,MID150BEES,3.9300593510999766,3.9300593510999766
2019-06-25,2019-07-01,1,16,INFRABEES,1.3582969989562121,8.00236290860409
2019-06-25,2019-07-01,2,13,MID150BEES,1.3541476309101448,5.9450453625001085
2019-06-25,2019-07-01,3,8,PSUBNKBEES,3.6195798622885302,4.517101407435767
2019-07-02,2019-07-08,1,16,INFRABEES,-3.3670168116237837,5.051671765436392
2019-07-02,2019-07-08,2,2,GOLDBEES,2.2461881836186772,4.68596423418939
2019-07-02,2019-07-08,3,8,PSUBNKBEES,-2.608767765704365,3.138916719218058
2019-07-09,2019-07-15,1,2,GOLDBEES,1.642129242027439,1.6929363837859792
2019-07-09,2019-07-15,2,31,LIQUIDBEES,0.0,0.3039740596488001
2019-07-09,2019-07-15,3,8,PSUBNKBEES,-1.500452070708394,0.25257665721152006
2019-07-16,2019-07-22,1,2,GOLDBEES,1.041038420901492,4.321299209590767
2019-07-16,2019-07-22,2,31,LIQUIDBEES,0.0,-0.0010282082014183135
2019-07-16,2019-07-22,3,10,JUNIORBEES,-2.5975850754283227,-2.8039700762427504
2019-07-23,2019-07-29,1,2,GOLDBEES,-0.3719526476168289,1.2395388917841055
2019-07-23,2019-07-29,2,31,LIQUIDBEES,0.0,0.0
2019-07-23,2019-07-29,3,10,JUNIORBEES,-1.2807411805319524,-1.9017931533063157
2019-07-30,2019-08-05,1,2,GOLDBEES,3.8373517467639124,4.77142818568169
2019-07-30,2019-08-05,2,31,LIQUIDBEES,0.30324468746307276,0.30324468746307276
2019-07-30,2019-08-05,3,10,JUNIORBEES,-0.8738829719155529,-4.8296886036156055
2019-08-06,2019-08-12,1,2,GOLDBEES,1.7235918697422816,6.029574919167338
2019-08-06,2019-08-12,2,31,LIQUIDBEES,0.003029368580903763,0.3083198398802478
2019-08-06,2019-08-12,3,10,JUNIORBEES,1.632422457197303,-1.1481319390952414
2019-08-13,2019-08-19,1,2,GOLDBEES,-1.088406529637422,7.414653628940751
2019-08-13,2019-08-19,2,31,LIQUIDBEES,0.0,0.30424987607789217
2019-08-13,2019-08-19,3,10,JUNIORBEES,1.3351841912796032,-0.6965998073923803
2019-08-20,2019-08-26,1,2,GOLDBEES,2.335350335311252,6.222820983543026
2019-08-20,2019-08-26,2,3,NIFTYBEES,0.32474020816033,1.6821506159733879
2019-08-20,2019-08-26,3,13,MID150BEES,-0.5913046131963315,1.1502416301279952
2019-08-27,2019-09-02,1,2,GOLDBEES,-0.4403717186317879,3.2818486236933326
2019-08-27,2019-09-02,2,10,JUNIORBEES,0.7111771836744791,0.45576145881355307
2019-08-27,2019-09-02,3,31,LIQUIDBEES,0.28068605175988187,0.2766433501598441
2019-09-03,2019-09-09,1,2,GOLDBEES,-2.2204789187926326,2.258444778196834
2019-09-03,2019-09-09,2,10,JUNIORBEES,0.9575530632192195,0.5678650561884548
2019-09-03,2019-09-09,3,16,INFRABEES,4.155563842718746,0.5016148698827131
2019-09-10,2019-09-16,1,10,JUNIORBEES,1.2695610237264716,2.445393930824622
2019-09-10,2019-09-16,2,13,MID150BEES,0.9334501811074558,2.151853648565074
2019-09-10,2019-09-16,3,16,INFRABEES,-0.154785897824726,1.4768697099198738
2019-09-17,2019-09-23,1,7,BANKBEES,13.02014712793524,11.880940459344727
2019-09-17,2019-09-23,2,13,MID150BEES,7.750175502102189,7.863400697815709
2019-09-17,2019-09-23,3,16,INFRABEES,7.160096540627514,6.833489560090646
2019-09-24,2019-09-30,1,16,INFRABEES,2.3298240110616373,6.419006659379827
2019-09-24,2019-09-30,2,7,BANKBEES,-3.431987120572462,6.106805982059383
2019-09-24,2019-09-30,3,10,JUNIORBEES,-1.1664515158598767,5.380874501636874
2019-10-01,2019-10-07,1,16,INFRABEES,-0.1811421198412476,1.1231650301217093
2019-10-01,2019-10-07,2,2,GOLDBEES,2.9503263655010787,1.0631589961231203
2019-10-01,2019-10-07,3,3,NIFTYBEES,-2.4347926176396455,1.0016927119006442
2019-10-08,2019-10-14,1,2,GOLDBEES,0.4255441848046465,2.0070963227045313
2019-10-08,2019-10-14,2,31,LIQUIDBEES,0.0,0.2846405844286374
2019-10-08,2019-10-14,3,16,INFRABEES,3.4322011727335817,-0.7237248234562688
2019-10-15,2019-10-21,1,2,GOLDBEES,-0.4775202724317979,2.397454377215454
2019-10-15,2019-10-21,2,3,NIFTYBEES,2.1361269340164335,1.553053433437743
2019-10-15,2019-10-21,3,10,JUNIORBEES,3.47467920233421,1.2677715937722938
2019-10-22,2019-10-28,1,8,PSUBNKBEES,1.9838347593183498,7.391648732303624
2019-10-22,2019-10-28,2,10,JUNIORBEES,0.13755998309989342,6.654951290690245
2019-10-22,2019-10-28,3,13,MID150BEES,1.8965220064431638,6.540264762144774
2019-10-29,2019-11-04,1,8,PSUBNKBEES,9.76066807912581,18.012762469605686
2019-10-29,2019-11-04,2,7,BANKBEES,1.8682955111349546,7.954116078015627
2019-10-29,2019-11-04,3,13,MID150BEES,2.278687524013832,7.4207944605973575
2019-11-05,2019-11-11,1,8,PSUBNKBEES,-2.995490337485763,9.462080988142503
2019-11-05,2019-11-11,2,7,BANKBEES,2.560313986068688,6.491161470824737
2019-11-05,2019-11-11,3,13,MID150BEES,-0.4838697371944305,2.5598419538453334
2019-11-12,2019-11-18,1,8,PSUBNKBEES,1.3060324572266242,7.690801257752017
2019-11-12,2019-11-18,2,7,BANKBEES,-0.25023765924422864,4.629567447052022
2019-11-12,2019-11-18,3,3,NIFTYBEES,-0.6016190667132787,1.8989053138766163
2019-11-19,2019-11-25,1,7,BANKBEES,0.882271356175526,3.638727577447204
2019-11-19,2019-11-25,2,8,PSUBNKBEES,0.26731460122989137,1.4014836109345423
2019-11-19,2019-11-25,3,3,NIFTYBEES,1.060947932745968,1.1025436286519195
2019-11-26,2019-12-02,1,8,PSUBNKBEES,2.3571632470074206,7.338130802530409
2019-11-26,2019-12-02,2,7,BANKBEES,0.5595271578071719,2.6663829251366873
2019-11-26,2019-12-02,3,16,INFRABEES,1.2717300377552836,2.353951721931311
2019-12-03,2019-12-09,1,7,BANKBEES,-0.7195027629281213,1.312616185478786
2019-12-03,2019-12-09,2,3,NIFTYBEES,-0.49937199914836344,0.47402610839055576
2019-12-03,2019-12-09,3,31,LIQUIDBEES,0.0,0.24681983305479796
2019-12-10,2019-12-16,1,7,BANKBEES,2.613178623441434,1.4367485691428186
2019-12-10,2019-12-16,2,31,LIQUIDBEES,0.0010217841350075051,0.24680969878882747
2019-12-10,2019-12-16,3,2,GOLDBEES,0.7122092939768877,0.1632315901741141
2019-12-17,2019-12-23,1,3,NIFTYBEES,1.021642244172425,1.798885831302359
2019-12-17,2019-12-23,2,7,BANKBEES,0.9388490646019699,1.7772766676027265
2019-12-17,2019-12-23,3,2,GOLDBEES,0.43877617245898426,0.7228724714935353
2019-12-24,2019-12-30,1,13,MID150BEES,2.918075261648053,4.086272656531254
2019-12-24,2019-12-30,2,2,GOLDBEES,1.6296273690682872,3.2028971750546087
2019-12-24,2019-12-30,3,7,BANKBEES,-0.08475309000066879,3.2021474739616202
2019-12-31,2020-01-06,1,2,GOLDBEES,4.934690058899146,8.09437152228124
2019-12-31,2020-01-06,2,13,MID150BEES,-1.026534316190209,0.5132312793191766
2019-12-31,2020-01-06,3,31,LIQUIDBEES,0.0010266594005350856,0.26236121001922524
2020-01-07,2020-01-13,1,13,MID150BEES,2.3395503975733556,3.700140232743582
2020-01-07,2020-01-13,2,2,GOLDBEES,-2.112676056338028,3.268940339497838
2020-01-07,2020-01-13,3,16,INFRABEES,2.882369374681976,1.864160755307601
2020-01-14,2020-01-20,1,13,MID150BEES,2.123072697566106,3.411738165940691
2020-01-14,2020-01-20,2,16,INFRABEES,0.43816661453770944,3.2453407554996274
2020-01-14,2020-01-20,3,2,GOLDBEES,1.3812936467232464,2.7113712124253704
2020-01-21,2020-01-27,1,13,MID150BEES,1.7504205837782278,7.595344303981773
2020-01-21,2020-01-27,2,10,JUNIORBEES,1.1957937794408633,3.850390443001402
2020-01-21,2020-01-27,3,16,INFRABEES,0.46604987812314685,3.6060830000896424
2020-01-28,2020-02-03,1,2,GOLDBEES,0.5319110308396691,3.338129057301034
2020-01-28,2020-02-03,2,13,MID150BEES,-2.2103625756092082,1.8226758481809362
2020-01-28,2020-02-03,3,31,LIQUIDBEES,0.24888186600177387,0.24888186600177387
2020-02-04,2020-02-10,1,2,GOLDBEES,1.0399070063055076,2.043716236328457
2020-02-04,2020-02-10,2,13,MID150BEES,1.262962428072225,1.4612854185575892
2020-02-04,2020-02-10,3,10,JUNIORBEES,2.943089896733541,0.4647688156012607
2020-02-11,2020-02-17,1,31,LIQUIDBEES,0.0,0.24682601313823685
2020-02-11,2020-02-17,2,2,GOLDBEES,0.30709271716564795,0.22315713935786669
2020-02-11,2020-02-17,3,3,NIFTYBEES,-0.3585399087493514,-0.6913690819443109
2020-02-18,2020-02-24,1,2,GOLDBEES,6.751528728871918,7.435260359197675
2020-02-18,2020-02-24,2,10,JUNIORBEES,0.21571816782923614,2.085797075038751
2020-02-18,2020-02-24,3,3,NIFTYBEES,-1.2643262346929802,1.0528895734345483
2020-02-25,2020-03-02,1,2,GOLDBEES,-1.0950851026998256,3.0041668802154313
2020-02-25,2020-03-02,2,31,LIQUIDBEES,0.21160901467505241,0.21160901467505241
2020-02-25,2020-03-02,3,13,MID150BEES,-5.427059818257792,-7.1120968216066265
2020-03-03,2020-03-09,1,2,GOLDBEES,3.6099143080440066,7.041466066818887
2020-03-03,2020-03-09,2,31,LIQUIDBEES,-0.001014444106045929,0.21059242391382924
2020-03-03,2020-03-09,3,13,MID150BEES,1.4782176827384859,-2.6696895791681405
2020-03-10,2020-03-16,1,31,LIQUIDBEES,0.001014454397118769,0.21058273698972935
2020-03-10,2020-03-16,2,2,GOLDBEES,-7.254292724759172,-7.542777407975623
2020-03-10,2020-03-16,3,3,NIFTYBEES,-8.2870451284622,-18.579495734232264
2020-03-17,2020-03-23,1,31,LIQUIDBEES,0.0,0.0
2020-03-17,2020-03-23,2,2,GOLDBEES,0.5455027755398514,-5.428026972166617
2020-03-17,2020-03-23,3,16,INFRABEES,-13.433964567364388,-24.887858568548637
2020-03-24,2020-03-30,1,2,GOLDBEES,9.20583222040753,3.328139949204815
2020-03-24,2020-03-30,2,31,LIQUIDBEES,0.001014454397118769,0.001014454397118769
2020-03-24,2020-03-30,3,16,INFRABEES,8.737702951876601,-11.715257713154385
2020-03-31,2020-04-06,1,2,GOLDBEES,1.5179320726296015,8.746854238132087
2020-03-31,2020-04-06,2,31,LIQUIDBEES,0.0,0.1626191473995552
2020-03-31,2020-04-06,3,16,INFRABEES,3.0240653167823135,-5.3057516801806655
2020-04-07,2020-04-13,1,2,GOLDBEES,7.10865550714609,21.330671396513594
2020-04-07,2020-04-13,2,10,JUNIORBEES,4.024429347368836,18.136915694847055
2020-04-07,2020-04-13,3,3,NIFTYBEES,3.4736489094944636,14.487555782870274
2020-04-14,2020-04-20,1,13,MID150BEES,8.815426930437752,17.023694676784828
2020-04-14,2020-04-20,2,10,JUNIORBEES,3.028254440834702,15.23999002354271
2020-04-14,2020-04-20,3,3,NIFTYBEES,2.478555792838247,9.8912188807198
2020-04-21,2020-04-27,1,7,BANKBEES,1.7000506727592006,15.312019671732244
2020-04-21,2020-04-27,2,13,MID150BEES,3.5191203165298606,14.000896248778425
2020-04-21,2020-04-27,3,3,NIFTYBEES,2.9602530086031,13.6736395288472
2020-04-28,2020-05-04,1,16,INFRABEES,-0.19598902018448774,7.108358921155906
2020-04-28,2020-05-04,2,13,MID150BEES,-0.2982730625335749,6.2513262318041
2020-04-28,2020-05-04,3,3,NIFTYBEES,-0.5535937904483665,3.3256643106397017
2020-05-05,2020-05-11,1,16,INFRABEES,1.5870774306494868,3.3278129754519505
2020-05-05,2020-05-11,2,3,NIFTYBEES,0.5734741933878426,0.22451395601516536
2020-05-05,2020-05-11,3,31,LIQUIDBEES,-0.001026275268751154,0.14768832436995394
2020-05-12,2020-05-18,1,16,INFRABEES,-3.0770336792874087,0.5455256369040213
2020-05-12,2020-05-18,2,31,LIQUIDBEES,0.0,0.14970789892034758
2020-05-12,2020-05-18,3,2,GOLDBEES,3.1522773621498983,-0.04699355525919549
2020-05-19,2020-05-25,1,16,INFRABEES,0.7636020901978187,1.2509555124076783
2020-05-19,2020-05-25,2,10,JUNIORBEES,2.0852751199607003,0.23304101185264367
2020-05-19,2020-05-25,3,31,LIQUIDBEES,-0.001026275268751154,-0.001026275268751154
2020-05-26,2020-06-01,1,3,NIFTYBEES,8.533415614383546,6.323184138441235
2020-05-26,2020-06-01,2,16,INFRABEES,5.9641868584997395,5.715301622275356
2020-05-26,2020-06-01,3,13,MID150BEES,6.3673447589485015,5.207908697371001
2020-06-02,2020-06-08,1,8,PSUBNKBEES,12.0088948335453,22.348171578591177
2020-06-02,2020-06-08,2,7,BANKBEES,3.6918656014099596,20.48640341684162
2020-06-02,2020-06-08,3,3,NIFTYBEES,2.087070636708966,15.085700120203779
2020-06-09,2020-06-15,1,8,PSUBNKBEES,1.6812374036585305,25.37312901718488
2020-06-09,2020-06-15,2,7,BANKBEES,-3.749516761109812,15.527170717806795
2020-06-09,2020-06-15,3,13,MID150BEES,0.37174863527076235,11.156850483032686
2020-06-16,2020-06-22,1,8,PSUBNKBEES,8.31656461306663,21.064463521743345
2020-06-16,2020-06-22,2,13,MID150BEES,6.341640391098751,11.320033858000599
2020-06-16,2020-06-22,3,7,BANKBEES,7.165628845989058,8.961253343685945
2020-06-23,2020-06-29,1,8,PSUBNKBEES,-3.9568335451847223,6.022507093071231
2020-06-23,2020-06-29,2,13,MID150BEES,-1.5130416206691577,4.812145747844481
2020-06-23,2020-06-29,3,2,GOLDBEES,0.6395084082358427,4.526445469913441
2020-06-30,2020-07-06,1,7,BANKBEES,3.8345454558333825,11.422731916066477
2020-06-30,2020-07-06,2,3,NIFTYBEES,4.3462402137790965,9.348384310939979
2020-06-30,2020-07-06,3,13,MID150BEES,3.6906235443541906,8.740743001302082
2020-07-07,2020-07-13,1,3,NIFTYBEES,0.18316535689295657,4.837534839231189
2020-07-07,2020-07-13,2,2,GOLDBEES,1.980198464984459,2.29368026721823
2020-07-07,2020-07-13,3,10,JUNIORBEES,-0.8273755193591763,2.111042290856996
2020-07-14,2020-07-20,1,3,NIFTYBEES,3.6571302951007643,6.670311497464413
2020-07-14,2020-07-20,2,7,BANKBEES,4.178466978737796,4.217176133952482
2020-07-14,2020-07-20,3,13,MID150BEES,1.5093666570041786,3.3197902489118545
2020-07-21,2020-07-27,1,6,ITBEES,1.7321082545909618,13.311901113235361
2020-07-21,2020-07-27,2,2,GOLDBEES,7.3740234978658945,9.888810645631414
2020-07-21,2020-07-27,3,3,NIFTYBEES,-0.12654085095359385,3.596430393991338
2020-07-28,2020-08-03,1,6,ITBEES,0.11080586487010267,13.576366235876808
2020-07-28,2020-08-03,2,2,GOLDBEES,2.782009651574112,9.315771498743116
2020-07-28,2020-08-03,3,10,JUNIORBEES,1.7646010535975711,2.3454950644694845
2020-08-04,2020-08-10,1,2,GOLDBEES,2.412194762661006,12.375207496681737
2020-08-04,2020-08-10,2,13,MID150BEES,5.464940193861282,7.195356383424355
2020-08-04,2020-08-10,3,6,ITBEES,2.7027000903735274,5.739129107931386
2020-08-11,2020-08-17,1,13,MID150BEES,0.3208225255853654,7.08903986554499
2020-08-11,2020-08-17,2,10,JUNIORBEES,-0.2128902948800571,5.102005331966876
2020-08-11,2020-08-17,3,6,ITBEES,0.2747210712340189,3.5754774730987537
2020-08-18,2020-08-24,1,13,MID150BEES,3.8418977156929346,11.058506903995795
2020-08-18,2020-08-24,2,7,BANKBEES,2.659266047926411,7.849686212346773
2020-08-18,2020-08-24,3,3,NIFTYBEES,0.8514497552312154,5.0185090151900935
2020-08-25,2020-08-31,1,7,BANKBEES,3.267382926665797,8.870713020562718
2020-08-25,2020-08-31,2,8,PSUBNKBEES,0.3584197536603377,6.531380782489451
2020-08-25,2020-08-31,3,13,MID150BEES,-1.0564918661843166,3.0293391085772785
2020-09-01,2020-09-07,1,7,BANKBEES,-3.587799301457991,5.812673210560539
2020-09-01,2020-09-07,2,13,MID150BEES,0.6365409243968622,3.6456647680201746
2020-09-01,2020-09-07,3,8,PSUBNKBEES,-3.59496921671971,3.1410240970263335
2020-09-08,2020-09-14,1,6,ITBEES,5.447671368167649,7.951400210808885
2020-09-08,2020-09-14,2,13,MID150BEES,4.089920147414295,1.5225334886626012
2020-09-08,2020-09-14,3,16,INFRABEES,2.1268126914070633,0.6797583081570997
2020-09-15,2020-09-21,1,6,ITBEES,0.10101241684007806,10.172317659747872
2020-09-15,2020-09-21,2,31,LIQUIDBEES,0.0,0.0010112563990780615
2020-09-15,2020-09-21,3,13,MID150BEES,-4.001788742273564,-0.13928189950427827
2020-09-22,2020-09-28,1,6,ITBEES,-0.8020042170090366,9.337019328396217
2020-09-22,2020-09-28,2,13,MID150BEES,1.737628016741433,0.26226190951199063
2020-09-22,2020-09-28,3,31,LIQUIDBEES,0.0,-0.0010112461727864285
2020-09-29,2020-10-05,1,6,ITBEES,5.138541250184849,6.751926617319507
2020-09-29,2020-10-05,2,7,BANKBEES,4.14387084221172,0.8664389116863075
2020-09-29,2020-10-05,3,31,LIQUIDBEES,0.20726294755810207,0.20726294755810207
2020-10-06,2020-10-12,1,6,ITBEES,6.187526049016771,12.563066647112011
2020-10-06,2020-10-12,2,7,BANKBEES,3.898313508928617,10.787183781171363
2020-10-06,2020-10-12,3,3,NIFTYBEES,2.3623319632450546,5.870581240010755
2020-10-13,2020-10-19,1,7,BANKBEES,3.1246034253469324,11.803805051774965
2020-10-13,2020-10-19,2,6,ITBEES,-9.405312645906948,8.53965916385078
2020-10-13,2020-10-19,3,3,NIFTYBEES,-0.16532757835190778,5.8956138276356995
2020-10-20,2020-10-26,1,7,BANKBEES,-0.6882175782924771,7.900124879215964
2020-10-20,2020-10-26,2,3,NIFTYBEES,-0.7572762561283564,2.8027458589275174
2020-10-20,2020-10-26,3,6,ITBEES,-1.4259405207272386,2.6832747648464053
2020-10-27,2020-11-02,1,7,BANKBEES,0.6518894256914886,4.97754664778941
2020-10-27,2020-11-02,2,13,MID150BEES,-0.8648267221178115,0.3840835981956698
2020-10-27,2020-11-02,3,10,JUNIORBEES,-0.5569588356343598,0.35128392624109583
2020-11-03,2020-11-09,1,7,BANKBEES,7.636191441318493,13.735137695090724
2020-11-03,2020-11-09,2,13,MID150BEES,3.5217564581160565,5.385444091468684
2020-11-03,2020-11-09,3,16,INFRABEES,4.031027708716613,5.052061033233429
2020-11-10,2020-11-16,1,7,BANKBEES,-0.35052742218303934,18.438317682421307
2020-11-10,2020-11-16,2,8,PSUBNKBEES,-1.202535011164327,9.620785867832257
2020-11-10,2020-11-16,3,10,JUNIORBEES,4.062109523243684,9.541200839179272
2020-11-17,2020-11-23,1,7,BANKBEES,-0.4973061931518086,16.787266387352282
